,projectName,numBugReports,projectOccurrencesInProjectSplits
0,netty,84,
1,elasticsearch,41,78.0
2,spring-boot,35,13.0
3,redisson,25,53.0
4,spring-security,20,9.0
5,hazelcast,16,28.0
6,spring-session,15,40.0
7,checkstyle,14,14.0
8,async-http-client,14,32.0
9,junit5,12,38.0
10,ExoPlayer,12,27.0
11,n4js,12,22.0
12,spring-framework,11,15.0
13,HikariCP,9,17.0
14,hono,7,6.0
15,reactor-core,7,9.0
16,pinpoint,7,16.0
17,okhttp,7,11.0
18,grpc-java,6,12.0
19,MapDB,6,10.0
20,Time4J,6,11.0
21,elk,6,5.0
22,speedment,5,5.0
23,joda-time,5,8.0
24,jadx,5,6.0
25,pulsar,5,14.0
26,orientdb,5,7.0
27,karate,5,11.0
28,jetty.project,4,8.0
29,android,4,4.0
30,CodenameOne,4,4.0
31,ceylon-ide-eclipse,4,7.0
32,graphhopper,4,8.0
33,exist,4,4.0
34,realm-java,3,7.0
35,azure-iot-sdk-java,3,2.0
36,TwelveMonkeys,3,6.0
37,simplenote-android,3,7.0
38,spring-batch,3,2.0
39,BroadleafCommerce,3,6.0
40,idea-gitignore,3,7.0
41,requery,3,3.0
42,mapsforge,3,8.0
43,guava,3,6.0
44,kapua,3,7.0
45,takes,2,2.0
46,reddeer,2,2.0
47,pmd,2,5.0
48,che,2,3.0
49,ice,2,5.0
50,javacv,2,5.0
51,jsoup,2,4.0
52,titan,2,1.0
53,OpenRefine,2,2.0
54,mybatis-3,2,1.0
55,fresco,2,2.0
56,spring-security-oauth,1,3.0
57,azure-tools-for-java,1,2.0
58,vorto,1,2.0
59,incubator-dolphinscheduler,1,1.0
60,eclipse.jdt.ls,1,2.0
61,graal,1,
62,mockito,1,
63,deeplearning4j,1,3.0
64,cyclops,1,3.0
65,restlet-framework-java,1,2.0
66,buck,1,4.0
67,lemminx,1,2.0
68,druid,1,2.0
69,closure-compiler,1,2.0
70,pact-jvm,1,4.0
