,projectName,issue_count_for_project_x,issue_count_for_project_y,accuracy,precision_weighted_average,recall_weighted_average,f1_weighted_average
0,OpenRefine,2,98,1.0,1.0,1.0,1.0
1,ice,2,87,1.0,1.0,1.0,1.0
2,idea-gitignore,3,151,1.0,1.0,1.0,1.0
3,realm-java,3,120,1.0,1.0,1.0,1.0
4,closure-compiler,1,39,1.0,1.0,1.0,1.0
5,druid,1,48,1.0,1.0,1.0,1.0
6,jsoup,2,96,0.96875,1.0,0.96875,0.9841269841269841
7,deeplearning4j,1,46,0.9347826086956522,1.0,0.9347826086956522,0.9662921348314606
8,elk,6,269,0.966542750929368,0.9679519159073062,0.966542750929368,0.9658084750178093
9,spring-framework,11,493,0.9513184584178499,0.9597687364153743,0.9513184584178499,0.9528905909933556
10,incubator-dolphinscheduler,1,52,0.9038461538461539,1.0,0.9038461538461539,0.9494949494949496
11,junit5,12,556,0.935251798561151,0.9623119924346154,0.935251798561151,0.9426280445439724
12,lemminx,1,38,0.868421052631579,1.0,0.868421052631579,0.9295774647887324
13,speedment,5,196,0.8775510204081632,0.9585019661873189,0.8775510204081632,0.9142063226967801
14,spring-security-oauth,1,43,0.813953488372093,1.0,0.813953488372093,0.8974358974358974
15,hono,7,311,0.887459807073955,0.9169780688413874,0.887459807073955,0.8933255510270968
16,pulsar,5,227,0.8590308370044053,0.9370507767215396,0.8590308370044053,0.8750374663432597
17,spring-security,20,895,0.88268156424581,0.8827595966028777,0.88268156424581,0.8734929847728794
18,redisson,25,1080,0.7898148148148149,0.8340554600563603,0.7898148148148149,0.8071937658105516
19,spring-batch,3,127,0.7952755905511811,0.8747208837701257,0.7952755905511811,0.8016894577675509
20,HikariCP,9,416,0.8317307692307693,0.761651617744702,0.8317307692307693,0.7949893282518476
21,Time4J,6,274,0.7883211678832117,0.8329118497109826,0.7883211678832117,0.7927177073238266
22,mybatis-3,2,80,0.7375,0.8927294685990338,0.7375,0.7788785912882299
23,simplenote-android,3,135,0.6962962962962963,0.9165400273169696,0.6962962962962963,0.7753785299743864
24,spring-session,15,817,0.7723378212974297,0.7753771644615677,0.7723378212974297,0.7728404501113472
25,kapua,3,128,0.7890625,0.8108915441176471,0.7890625,0.7690340909090909
26,jadx,5,216,0.7175925925925926,0.8209889881238197,0.7175925925925926,0.752785956078967
27,ceylon-ide-eclipse,4,173,0.6011560693641619,1.0,0.6011560693641619,0.7509025270758123
28,titan,2,92,0.5978260869565217,1.0,0.5978260869565217,0.7422642574816488
29,che,2,94,0.5851063829787234,1.0,0.5851063829787234,0.7382550335570469
30,azure-tools-for-java,1,45,0.5777777777777777,1.0,0.5777777777777777,0.7323943661971829
31,mockito,1,35,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273
32,ExoPlayer,12,546,0.7216117216117216,0.738149633175544,0.7216117216117216,0.725173561374209
33,mapsforge,3,137,0.6277372262773723,0.9241638085187465,0.6277372262773723,0.7039043617118789
34,requery,3,112,0.6428571428571429,0.7741599225897255,0.6428571428571429,0.7023827550402354
35,TwelveMonkeys,3,117,0.6752136752136753,0.7420875420875421,0.6752136752136753,0.6996411796411797
36,pmd,2,83,0.7108433734939759,0.7842799770510614,0.7108433734939759,0.6996410690199126
37,javacv,2,104,0.6538461538461539,0.7907075048891786,0.6538461538461539,0.6928418803418802
38,guava,3,140,0.5214285714285715,1.0,0.5214285714285715,0.6854460093896715
39,netty,84,3720,0.7051075268817204,0.6689153378374281,0.7051075268817204,0.6832027052083839
40,takes,2,91,0.6703296703296703,0.6866466866466866,0.6703296703296703,0.6776484385180038
41,async-http-client,14,646,0.6455108359133127,0.7155283854216894,0.6455108359133127,0.6605712159933659
42,hazelcast,16,728,0.6634615384615384,0.7074384029710492,0.6634615384615384,0.6584502749082809
43,exist,4,190,0.6105263157894737,0.8308252111760883,0.6105263157894737,0.6561073602541432
44,pinpoint,7,333,0.6006006006006006,0.7362223756243759,0.6006006006006006,0.6540766103481869
45,reactor-core,7,307,0.5700325732899023,0.7844894167112579,0.5700325732899023,0.6537985029682526
46,graal,1,44,0.4772727272727273,1.0,0.4772727272727273,0.6461538461538462
47,elasticsearch,41,1868,0.6349036402569593,0.6528565744373794,0.6349036402569593,0.6404456907842266
48,MapDB,6,250,0.536,0.7565049051667756,0.536,0.6204723269491782
49,cyclops,1,44,0.4318181818181818,1.0,0.4318181818181818,0.6031746031746031
50,spring-boot,35,1593,0.6038920276208412,0.686827545332367,0.6038920276208412,0.6013087055955727
51,grpc-java,6,273,0.5494505494505495,0.6450085162270036,0.5494505494505495,0.5833366544426782
52,karate,5,243,0.551440329218107,0.7032366540563262,0.551440329218107,0.5808456627837653
53,eclipse.jdt.ls,1,42,0.40476190476190477,1.0,0.40476190476190477,0.576271186440678
54,azure-iot-sdk-java,3,140,0.5428571428571428,0.6031808585503167,0.5428571428571428,0.5689037153322868
55,buck,1,47,0.3829787234042553,1.0,0.3829787234042553,0.5538461538461539
56,graphhopper,4,191,0.5392670157068062,0.739691264233149,0.5392670157068062,0.5483612890323725
57,jetty.project,4,165,0.47878787878787876,0.6451451131028595,0.47878787878787876,0.5352800734618915
58,okhttp,7,316,0.5474683544303798,0.6482450446826707,0.5474683544303798,0.5322748000143567
59,fresco,2,84,0.5238095238095238,0.7602380952380953,0.5238095238095238,0.5249242018904939
60,checkstyle,14,646,0.5464396284829721,0.5641243633352148,0.5464396284829721,0.5244353718521546
61,orientdb,5,215,0.5813953488372093,0.5085878397310171,0.5813953488372093,0.5236195878237853
62,joda-time,5,215,0.3767441860465116,0.9345483005366726,0.3767441860465116,0.5043844060536508
63,vorto,1,49,0.30612244897959184,1.0,0.30612244897959184,0.46874999999999994
64,n4js,12,549,0.48633879781420764,0.4580029899991214,0.48633879781420764,0.46239204337988987
65,android,4,183,0.3879781420765027,0.6409270774448841,0.3879781420765027,0.45261573136588545
66,pact-jvm,1,48,0.20833333333333334,1.0,0.20833333333333334,0.3448275862068966
67,reddeer,2,91,0.2857142857142857,0.2384578632070271,0.2857142857142857,0.248322843604626
68,CodenameOne,4,175,0.15428571428571428,0.4779125138427464,0.15428571428571428,0.2270184000122769
69,restlet-framework-java,1,48,0.10416666666666667,1.0,0.10416666666666667,0.18867924528301885
70,BroadleafCommerce,3,140,0.14285714285714285,0.22321428571428573,0.14285714285714285,0.17130434782608697
